Qty,Booking Agent,Receipt,Loading Port,Vessel/Voyage,Vessel Name,Pack,Teus,Container,Booking Reference,BL Number,Next POD,Discharge Port,Delivery,Discharge Instructions,Gross Wgt,Bkg Pty Name,Quote Ref/US SVC,Decider Fullname,Hazardous,Reefer Flag,OOG Flag,Original Reference,Transhipment Port,Current,Verified Gross Mass
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
1,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295257,,MTMLA,LYMRA,,,17900,UNIONWAY CONTAINER LINE,FL8611-NFX-10-001,AL KHEBRA SHIPPING COMPANY,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295297,,MTMLA,DZSKI,,,4900,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295297,,MTMLA,DZSKI,,,4900,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295297,,MTMLA,DZSKI,,,4900,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295297,,MTMLA,DZSKI,,,4900,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295297,,MTMLA,DZSKI,,,4900,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295297,,MTMLA,DZSKI,,,4900,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295297,,MTMLA,DZSKI,,,4900,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
1,ZSN,CNGON,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,20ST,1,CMAU1187647,ZSN0295303,ZSN0295303,FRFOS,FRFOS,,,18200,AGILITY LOGISTICS (SHG) LTD GGZ BRH,CL001348009-A-001,TECK SOON HONG(ZHUHAI) FLAVOURS&FRA,Y,N,N,,,CNNSA,18630,
1,ZSN,CNZSN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,CMAU7226503,ZSN0295569,,ESVLC,GPPTP,,,13900,SZ KINGWAY LOGISTICS CO LTD ZS BRC,QLHV064724,SOGEDIAL EXPLOITATION,N,N,N,KITTY,ESVLC,CNNSA,12780,
1,ZSN,CNZSN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,20ST,1,TCKU3014821,ZSN0295778,,MTMLA,LYMRA,,,7200,SZ SHINING OCEAN INTL LOGISTICS CO,QSHZ027535,SZ SHINING OCEAN INTL LOGISTICS CO,N,N,N,EUNICE 30-APR,MTMLA,CNNSA,9040,
1,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295780,,MTMLA,LYMRA,,,12900,BEST INTL SHIPPING AGENCY CO,QUSH004428,FUNET TRADING CO LLC,N,N,N,EUNICE,MTMLA,CNNSA,,
3,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295842,,SGSIN,ITGOA,,,10400,KUEHNE + NAGEL LTD,QGEN057465,CANDY HOOVER GROUP SRL,N,N,N,KITTY,SGSIN,CNNSA,,
